  46.84
 353.00
2260093113
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)
2004 12 13 12	30042.51	2.49	63.10	0.00	-5.93	-5.93	372.36
2004 12 14 12	29998.56	1.06	110.34	0.00	-7.06	-7.06	330.98
2004 12 15 12	29950.32	1.04	209.43	0.00	-15.13	-15.13	162.38
2004 12 16 12	29950.32	1.19	182.06	0.00	-13.64	-13.64	208.52
2004 12 17 12	29907.47	2.48	93.30	0.00	-6.40	-6.40	346.27
2004 12 18 12	29907.47	1.34	189.43	0.00	-17.78	-17.78	135.16
2004 12 19 12	29865.79	1.12	168.26	0.00	-9.58	-9.58	295.19
2004 12 20 12	29865.79	5.30	128.95	0.00	-5.35	-5.35	383.44
2004 12 21 12	29907.47	0.28	146.33	0.00	-14.42	-14.42	176.69
2004 12 22 12	29907.47	0.07	136.85	0.00	-9.34	-9.34	280.73
2004 12 23 12	29907.47	2.00	94.79	0.00	-0.51	-0.51	566.72
2004 12 24 12	29950.32	26.08	191.23	0.00	-2.99	-2.99	482.33
2004 12 25 12	29998.56	0.75	155.35	0.00	-17.43	-17.43	128.79
2004 12 26 12	30042.51	0.90	113.89	0.00	-17.26	-17.26	134.76
2004 12 27 12	30062.74	1.13	186.20	0.00	-15.24	-15.24	152.63
2004 12 28 12	30067.20	0.64	207.14	0.00	-20.86	-20.86	99.48
2004 12 29 12	30067.89	2.32	123.88	0.00	-9.37	-9.37	265.27
2004 12 30 12	30107.29	0.00	203.48	0.00	-14.90	-14.90	162.19
2004 12 31 12	30139.89	8.86	98.76	0.00	-9.05	-9.05	320.85
2005 01 01 12	30172.48	1.04	139.60	0.00	-0.24	-0.24	564.71
2005 01 02 12	30253.07	0.12	208.17	0.00	-17.34	-17.34	129.99
2005 01 03 12	30344.16	6.56	170.40	0.00	-5.46	-5.46	376.47
2005 01 04 12	30408.34	0.76	180.22	0.00	-9.43	-9.43	251.10
2005 01 05 12	30413.49	1.35	183.67	0.00	-13.33	-13.33	181.46
2005 01 06 12	30485.90	1.45	220.85	0.00	-20.23	-20.23	110.03
2005 01 07 12	30598.67	5.54	142.69	0.00	-9.97	-9.97	260.28
2005 01 08 12	30733.71	0.31	192.91	0.00	-10.34	-10.34	260.80
2005 01 09 12	30758.40	0.62	204.48	0.00	-10.39	-10.39	241.09
2005 01 10 12	30798.49	4.25	75.78	0.00	-8.71	-8.71	300.94
2005 01 11 12	30944.27	0.91	239.93	0.00	-11.44	-11.44	218.96
2005 01 12 12	31099.54	0.98	207.42	0.00	-18.63	-18.63	125.77
2005 01 13 12	31104.69	4.34	146.57	0.00	-6.42	-6.42	369.06
2005 01 14 12	31209.28	10.70	94.36	0.00	2.06	2.06	669.66
2005 01 15 12	31424.91	1.34	219.79	0.00	-13.22	-13.22	175.06
2005 01 16 12	31449.60	1.36	181.03	0.00	-11.11	-11.11	209.76
2005 01 17 12	31554.88	4.41	118.72	0.00	-12.76	-12.76	189.45
2005 01 18 12	31770.51	0.60	165.26	0.00	-17.93	-17.93	114.06
2005 01 19 12	31795.89	1.19	239.20	0.00	-21.55	-21.55	96.64
2005 01 20 12	31939.40	8.35	134.04	0.00	-11.80	-11.80	217.25
2005 01 21 12	32136.34	0.49	198.46	0.00	-19.58	-19.58	100.90
2005 01 22 12	32150.34	0.03	250.23	0.00	-23.29	-23.29	75.03
2005 01 23 12	32369.53	0.06	238.90	0.00	-20.30	-20.30	96.75
2005 01 24 12	32486.40	0.02	244.36	0.00	-21.57	-21.57	99.86
2005 01 25 12	32591.68	0.02	251.91	0.00	-16.04	-16.04	139.55
2005 01 26 12	32832.00	0.02	229.99	0.00	-21.20	-21.20	87.97
2005 01 27 12	32872.09	0.02	279.44	0.00	-22.88	-22.88	75.61
2005 01 28 12	33152.91	0.01	284.89	0.00	-19.91	-19.91	103.81
2005 01 29 12	33178.29	0.01	180.90	0.00	-16.29	-16.29	156.91
2005 01 30 12	33406.32	0.01	250.57	0.00	-10.77	-10.77	232.10
2005 01 31 12	33523.20	0.01	251.76	0.00	-15.10	-15.10	163.99
2005 02 01 12	33709.07	0.02	275.81	0.00	-10.47	-10.47	229.00
2005 02 02 12	33868.80	0.02	264.92	0.00	-7.74	-7.74	284.25
2005 02 03 12	34012.99	0.02	277.77	0.00	-8.68	-8.68	282.11
2005 02 04 12	34214.40	0.03	261.36	0.00	-5.21	-5.21	356.28
2005 02 05 12	34319.68	0.03	304.04	0.00	-4.16	-4.16	403.33
2005 02 06 12	34560.00	0.01	305.22	0.00	-5.45	-5.45	361.82
2005 02 07 12	34665.28	0.04	287.24	0.00	-4.41	-4.41	362.92
2005 02 08 12	34905.60	2.59	143.13	0.00	-0.40	-0.40	486.57
2005 02 09 12	35010.88	2.66	171.12	0.00	-0.33	-0.33	562.72
2005 02 10 12	35251.20	1.61	225.79	0.00	-3.50	-3.50	431.79
2005 02 11 12	35395.39	18.03	117.87	0.00	-6.92	-6.92	332.55
2005 02 12 12	35596.80	0.25	327.87	0.00	-8.31	-8.31	279.66
2005 02 13 12	35825.52	0.28	277.99	0.00	-8.79	-8.79	264.87
2005 02 14 12	35942.40	0.35	331.84	0.00	-12.90	-12.90	200.10
2005 02 15 12	36219.36	3.92	181.29	0.00	-3.00	-3.00	460.30
2005 02 16 12	36288.00	0.33	240.09	0.00	-2.24	-2.24	502.29
2005 02 17 12	36633.60	4.33	333.59	0.00	-3.34	-3.34	440.34
2005 02 18 12	36633.60	0.05	299.70	0.00	-13.59	-13.59	182.44
2005 02 19 12	36979.20	0.04	328.12	0.00	-14.37	-14.37	151.92
2005 02 20 12	37019.29	0.01	340.36	0.00	-16.12	-16.12	135.83
2005 02 21 12	37324.80	0.15	305.95	0.00	-19.40	-19.40	111.88
2005 02 22 12	37468.99	1.84	173.55	0.00	-10.96	-10.96	228.39
2005 02 23 12	37670.40	0.62	213.95	0.00	-8.33	-8.33	278.16
2005 02 24 12	38011.54	0.05	306.75	0.00	-11.98	-11.98	186.01
2005 02 25 12	38016.00	0.01	330.18	0.00	-13.90	-13.90	156.20
2005 02 26 12	38361.60	0.01	390.71	0.00	-14.24	-14.24	167.25
2005 02 27 12	38362.29	0.00	380.45	0.00	-12.81	-12.81	174.82
2005 02 28 12	38707.20	0.00	363.66	0.00	-13.32	-13.32	175.16
2005 03 01 12	38893.07	9.94	276.32	0.00	-8.23	-8.23	281.67
2005 03 02 12	39052.80	5.72	147.22	0.00	-6.95	-6.95	330.37
2005 03 03 12	39398.40	0.45	305.14	0.00	-10.44	-10.44	228.90
2005 03 04 12	39398.40	0.00	317.49	0.00	-12.13	-12.13	191.85
2005 03 05 12	39744.00	0.00	397.71	0.00	-10.11	-10.11	228.15
2005 03 06 12	39784.09	2.12	351.15	0.00	-7.59	-7.59	310.97
2005 03 07 12	40089.60	2.67	451.83	0.00	-10.02	-10.02	250.35
2005 03 08 12	40435.20	24.77	197.86	0.00	-5.05	-5.05	406.04
2005 03 09 12	40435.20	24.68	136.08	0.00	-11.08	-11.08	239.15
2005 03 10 12	40780.80	0.35	330.21	0.00	-16.90	-16.90	124.90
2005 03 11 12	40780.80	0.11	301.31	0.00	-11.99	-11.99	199.27
2005 03 12 12	41126.40	0.95	350.93	0.00	-7.00	-7.00	319.27
2005 03 13 12	41472.00	0.20	443.27	0.00	-8.32	-8.32	287.83
2005 03 14 12	41472.00	0.51	163.62	0.00	-5.94	-5.94	350.67
2005 03 15 12	41817.60	2.53	334.83	0.00	-0.90	-0.90	534.88
2005 03 16 12	41817.60	0.37	496.00	0.00	-1.75	-1.75	468.56
2005 03 17 12	42163.20	0.01	251.31	0.00	-5.78	-5.78	355.88
2005 03 18 12	42508.80	2.37	190.94	0.00	-3.04	-3.04	448.10
2005 03 19 12	42508.80	3.67	339.28	0.00	-1.12	-1.12	509.11
2005 03 20 12	42854.40	0.05	505.92	0.00	-3.15	-3.15	431.45
2005 03 21 12	42854.40	0.01	160.30	0.00	-6.12	-6.12	357.61
2005 03 22 12	43200.00	0.06	173.69	0.00	-1.47	-1.47	510.38
2005 03 23 12	43545.60	0.94	415.66	0.00	-1.80	-1.80	473.97
2005 03 24 12	43545.60	0.01	457.08	0.00	-4.77	-4.77	367.51
2005 03 25 12	43891.20	0.05	297.36	0.00	-4.11	-4.11	382.08
2005 03 26 12	43891.20	0.03	537.75	0.00	-9.83	-9.83	226.92
2005 03 27 12	44236.80	0.00	502.89	0.00	-7.27	-7.27	307.56
2005 03 28 12	44582.40	3.90	386.60	0.00	-3.87	-3.87	418.66
2005 03 29 12	44582.40	3.97	288.56	0.00	0.35	0.35	591.91
2005 03 30 12	44928.00	0.01	521.63	0.00	-0.47	-0.47	526.30
2005 03 31 12	44928.00	0.01	520.69	0.00	-2.14	-2.14	423.85
2005 04 01 12	45273.60	3.36	253.65	0.00	-0.61	-0.61	522.43
2005 04 02 12	45619.20	6.80	275.08	0.00	0.48	0.48	597.34
2005 04 03 12	45619.20	24.90	175.76	0.00	1.87	1.87	659.08
2005 04 04 12	45964.80	6.64	281.93	0.00	2.96	2.96	679.59
2005 04 05 12	45964.80	1.08	242.72	0.00	1.56	1.56	615.29
2005 04 06 12	46310.40	0.01	586.60	0.00	0.41	0.41	471.73
2005 04 07 12	46615.91	6.89	299.62	0.00	1.03	1.03	483.43
2005 04 08 12	46656.00	3.08	579.70	0.00	1.79	1.79	560.83
2005 04 09 12	47001.60	0.03	519.51	0.00	0.82	0.82	478.19
2005 04 10 12	47001.60	0.00	511.62	0.00	0.83	0.83	466.34
2005 04 11 12	47347.20	0.00	397.34	0.00	-3.19	-3.19	370.23
2005 04 12 12	47506.93	1.71	195.56	0.00	-2.09	-2.09	450.03
2005 04 13 12	47692.80	0.77	258.44	0.00	-0.01	-0.01	547.84
2005 04 14 12	48037.71	0.63	605.05	0.00	-0.65	-0.65	442.55
2005 04 15 12	48038.40	0.02	596.50	0.00	-2.72	-2.72	300.89
2005 04 16 12	48384.00	0.02	610.67	0.00	1.01	1.01	374.87
2005 04 17 12	48388.46	0.01	594.36	0.00	6.84	6.84	579.12
2005 04 18 12	48729.60	0.00	577.84	0.00	5.73	5.73	535.03
2005 04 19 12	48931.01	0.36	534.15	0.00	6.73	6.73	519.98
2005 04 20 12	49075.20	1.04	524.15	0.00	9.86	9.86	769.86
2005 04 21 12	49380.71	0.01	495.14	0.00	0.39	0.39	412.44
2005 04 22 12	49420.80	0.00	616.96	0.00	-0.50	-0.50	376.83
2005 04 23 12	49766.40	7.31	266.83	0.00	3.18	3.18	542.65
2005 04 24 12	49766.40	6.04	422.64	0.00	8.09	8.09	894.98
2005 04 25 12	50112.00	23.71	311.00	0.00	12.07	12.07	1237.85
2005 04 26 12	50180.64	0.25	391.00	0.00	6.67	6.67	731.73
2005 04 27 12	50457.60	0.15	512.42	0.00	9.56	9.56	786.15
2005 04 28 12	50574.48	36.89	173.21	0.00	5.82	5.82	816.08
2005 04 29 12	50803.20	22.78	193.81	0.00	2.39	2.39	641.32
2005 04 30 12	51004.61	0.09	322.07	0.00	6.06	6.06	730.01
2005 05 01 12	51148.80	7.97	263.09	0.00	10.48	10.48	1121.41
2005 05 02 12	51350.21	0.85	502.45	0.00	7.56	7.56	710.57
2005 05 03 12	51494.40	0.64	387.51	0.00	6.50	6.50	643.77
2005 05 04 12	51734.72	0.41	463.96	0.00	5.55	5.55	562.64
2005 05 05 12	51840.00	0.06	508.08	0.00	7.43	7.43	601.34
2005 05 06 12	52080.32	0.00	496.41	0.00	8.91	8.91	571.70
2005 05 07 12	52185.60	0.87	366.71	0.00	9.29	9.29	758.59
2005 05 08 12	52387.01	4.39	137.58	0.00	6.47	6.47	815.02
2005 05 09 12	52531.20	0.25	477.99	0.00	9.44	9.44	884.89
2005 05 10 12	52690.93	0.00	359.13	0.00	12.85	12.85	991.02
2005 05 11 12	52876.80	0.63	516.15	0.00	14.59	14.59	1151.62
2005 05 12 12	52993.68	2.76	480.42	0.00	6.53	6.53	741.82
2005 05 13 12	53221.71	0.01	430.18	0.00	-1.51	-1.51	330.65
2005 05 14 12	53247.09	0.02	503.76	0.00	3.05	3.05	467.17
2005 05 15 12	53527.91	7.91	200.65	0.00	7.15	7.15	795.34
2005 05 16 12	53568.00	11.98	106.20	0.00	7.45	7.45	970.35
2005 05 17 12	53808.32	1.33	317.28	0.00	7.20	7.20	823.41
2005 05 18 12	53913.60	1.03	353.98	0.00	9.23	9.23	804.64
2005 05 19 12	54030.48	0.58	322.85	0.00	9.18	9.18	855.99
2005 05 20 12	54249.66	0.26	218.37	0.00	8.45	8.45	951.59
2005 05 21 12	54263.66	5.94	142.35	0.00	7.14	7.14	925.99
2005 05 22 12	54460.61	5.82	176.74	0.00	7.05	7.05	905.80
2005 05 23 12	54604.11	11.22	301.35	0.00	8.70	8.70	991.54
2005 05 24 12	54629.50	0.10	531.13	0.00	8.96	8.96	820.61
2005 05 25 12	54845.12	0.04	572.47	0.00	8.78	8.78	794.57
2005 05 26 12	54950.40	3.59	177.69	0.00	8.31	8.31	913.19
2005 05 27 12	54975.09	9.48	191.62	0.00	10.66	10.66	1162.27
2005 05 28 12	55190.72	1.01	233.13	0.00	11.67	11.67	1260.62
2005 05 29 12	55295.31	6.46	256.21	0.00	12.70	12.70	1346.32
2005 05 30 12	55300.46	1.40	307.97	0.00	12.92	12.92	1291.69
2005 05 31 12	55455.73	0.15	560.86	0.00	14.56	14.56	1136.32
2005 06 01 12	55601.51	0.02	520.92	0.00	15.63	15.63	1070.74
2005 06 02 12	55641.60	0.03	518.87	0.00	18.06	18.06	1297.79
2005 06 03 12	55666.30	0.03	498.25	0.00	20.13	20.13	1553.59
2005 06 04 12	55801.33	0.05	451.76	0.00	20.85	20.85	1586.24
2005 06 05 12	55914.10	1.87	477.42	0.00	18.84	18.84	1472.33
2005 06 06 12	55986.51	9.56	174.59	0.00	10.31	10.31	1007.40
2005 06 07 12	55991.66	3.06	309.82	0.00	15.02	15.02	1482.76
2005 06 08 12	56055.84	0.13	425.02	0.00	16.11	16.11	1383.45
2005 06 09 12	56146.93	0.02	469.64	0.00	14.38	14.38	1064.10
2005 06 10 12	56227.52	0.03	503.23	0.00	21.04	21.04	1923.07
2005 06 11 12	56292.71	0.54	423.15	0.00	23.41	23.41	2258.92
2005 06 12 12	56332.11	11.90	325.91	0.00	21.73	21.73	2231.26
2005 06 13 12	56332.80	9.89	385.34	0.00	22.31	22.31	2257.77
2005 06 14 12	56337.26	1.44	269.73	0.00	16.55	16.55	1720.10
2005 06 15 12	56357.50	7.64	113.99	0.00	10.51	10.51	1175.96
2005 06 16 12	56401.44	10.23	146.23	0.00	9.53	9.53	1114.34
2005 06 17 12	56449.68	8.57	131.69	0.00	9.41	9.41	1115.81
2005 06 18 12	56492.53	6.23	168.59	0.00	9.23	9.23	1087.32
2005 06 19 12	56492.53	0.61	507.51	0.00	12.22	12.22	1065.06
2005 06 20 12	56492.53	0.08	518.68	0.00	16.33	16.33	1241.21
2005 06 21 12	56534.21	0.00	478.13	0.00	18.93	18.93	1734.77
2005 06 22 12	56534.21	0.00	448.23	0.00	15.44	15.44	1329.11
2005 06 23 12	56492.53	0.00	518.52	0.00	12.87	12.87	998.83
2005 06 24 12	56492.53	0.04	312.58	0.00	16.19	16.19	1425.81
2005 06 25 12	56449.68	0.02	462.02	0.00	22.92	22.92	2198.79
2005 06 26 12	56449.68	0.02	431.50	0.00	21.34	21.34	1842.88
2005 06 27 12	56401.44	0.00	417.35	0.00	19.99	19.99	1768.89
2005 06 28 12	56357.50	0.00	493.21	0.00	24.55	24.55	2487.81
2005 06 29 12	56337.26	0.00	375.33	0.00	23.94	23.94	2417.05
2005 06 30 12	56332.11	0.00	292.25	0.00	19.66	19.66	1808.31
2005 07 01 12	56323.26	0.12	465.64	0.00	18.40	18.40	1825.47
2005 07 02 12	56259.70	0.74	409.60	0.00	18.03	18.03	1723.47
2005 07 03 12	56188.61	0.02	506.23	0.00	15.59	15.59	1257.01
2005 07 04 12	56104.07	0.00	499.43	0.00	18.95	18.95	1582.24
2005 07 05 12	56011.89	5.11	319.95	0.00	20.10	20.10	1958.38
2005 07 06 12	55987.20	4.99	465.26	0.00	18.44	18.44	1632.69
2005 07 07 12	55977.66	0.02	510.91	0.00	15.74	15.74	1164.72
2005 07 08 12	55881.92	0.00	504.53	0.00	17.11	17.11	1211.01
2005 07 09 12	55758.48	10.27	150.08	0.00	16.87	16.87	1473.11
2005 07 10 12	55646.06	21.36	396.41	0.00	19.22	19.22	1879.63
2005 07 11 12	55632.06	1.96	435.15	0.00	22.51	22.51	1930.95
2005 07 12 12	55536.32	2.05	423.90	0.00	19.39	19.39	1678.39
2005 07 13 12	55364.64	0.17	456.94	0.00	19.65	19.65	1750.38
2005 07 14 12	55296.00	25.66	256.72	0.00	19.11	19.11	1899.40
2005 07 15 12	55255.91	2.02	491.95	0.00	18.88	18.88	1679.15
2005 07 16 12	55110.13	0.01	493.22	0.00	19.29	19.29	1398.73
2005 07 17 12	54950.40	0.02	483.17	0.00	21.55	21.55	1784.25
2005 07 18 12	54910.31	1.79	378.59	0.00	24.86	24.86	2549.07
2005 07 19 12	54764.53	7.40	377.23	0.00	24.55	24.55	2586.62
2005 07 20 12	54604.80	1.05	408.21	0.00	22.15	22.15	2163.60
2005 07 21 12	54564.71	0.00	471.56	0.00	19.67	19.67	1708.48
2005 07 22 12	54327.84	0.06	355.49	0.00	20.85	20.85	1876.86
2005 07 23 12	54259.20	6.82	394.26	0.00	18.73	18.73	1595.86
2005 07 24 12	54153.92	0.79	495.66	0.00	14.70	14.70	1175.03
2005 07 25 12	53918.06	1.22	218.20	0.00	14.19	14.19	1331.68
2005 07 26 12	53904.06	0.33	438.59	0.00	20.76	20.76	1920.96
2005 07 27 12	53636.64	7.50	247.76	0.00	20.15	20.15	2008.27
2005 07 28 12	53568.00	0.33	481.35	0.00	15.90	15.90	1384.53
2005 07 29 12	53423.81	0.34	434.71	0.00	16.25	16.25	1274.23
2005 07 30 12	53222.40	0.11	436.11	0.00	14.59	14.59	1197.98
2005 07 31 12	53149.30	0.33	454.32	0.00	13.73	13.73	1095.45
2005 08 01 12	52876.80	7.14	293.30	0.00	15.21	15.21	1487.24
2005 08 02 12	52836.71	7.50	329.50	0.00	17.40	17.40	1665.85
2005 08 03 12	52535.66	0.98	492.87	0.00	17.56	17.56	1487.27
2005 08 04 12	52521.66	0.10	477.97	0.00	17.13	17.13	1350.97
2005 08 05 12	52210.30	1.45	391.11	0.00	20.06	20.06	1887.24
2005 08 06 12	52184.91	0.46	488.20	0.00	17.50	17.50	1425.28
2005 08 07 12	51864.69	0.00	490.29	0.00	17.86	17.86	1441.91
2005 08 08 12	51840.00	0.00	488.37	0.00	20.16	20.16	1732.39
2005 08 09 12	51519.09	0.00	486.04	0.00	21.91	21.91	1898.94
2005 08 10 12	51494.40	0.11	376.07	0.00	22.34	22.34	2114.56
2005 08 11 12	51153.26	6.80	448.34	0.00	20.77	20.77	1919.64
2005 08 12 12	51148.11	0.02	458.91	0.00	16.36	16.36	1241.54
2005 08 13 12	50803.20	3.56	384.99	0.00	19.07	19.07	1806.42
2005 08 14 12	50802.51	0.04	293.35	0.00	18.65	18.65	1655.48
2005 08 15 12	50457.60	0.02	485.28	0.00	17.52	17.52	1347.94
2005 08 16 12	50417.51	1.66	426.20	0.00	17.92	17.92	1430.12
2005 08 17 12	50112.00	2.35	433.56	0.00	16.79	16.79	1485.99
2005 08 18 12	50006.72	0.01	412.51	0.00	12.27	12.27	1049.05
2005 08 19 12	49766.40	0.00	394.43	0.00	13.24	13.24	1032.15
2005 08 20 12	49580.53	3.65	120.96	0.00	14.79	14.79	1428.53
2005 08 21 12	49420.80	10.28	279.33	0.00	18.77	18.77	1965.11
2005 08 22 12	49079.66	8.72	325.84	0.00	18.47	18.47	1723.16
2005 08 23 12	49075.20	2.46	346.93	0.00	15.60	15.60	1407.69
2005 08 24 12	48729.60	0.09	253.10	0.00	14.98	14.98	1426.20
2005 08 25 12	48728.91	0.95	349.66	0.00	15.51	15.51	1433.52
2005 08 26 12	48384.00	0.00	470.33	0.00	17.54	17.54	1349.60
2005 08 27 12	48239.81	0.00	457.04	0.00	18.93	18.93	1393.20
2005 08 28 12	48038.40	0.36	324.90	0.00	18.20	18.20	1721.48
2005 08 29 12	47697.26	11.84	361.10	0.00	19.72	19.72	2006.71
2005 08 30 12	47692.80	4.08	405.90	0.00	20.41	20.41	2017.01
2005 08 31 12	47347.20	41.54	210.88	0.00	19.15	19.15	2079.59
2005 09 01 12	47346.51	14.92	346.96	0.00	20.46	20.46	2036.91
2005 09 02 12	47001.60	0.11	386.99	0.00	18.42	18.42	1673.65
2005 09 03 12	46724.64	0.46	370.22	0.00	17.31	17.31	1539.25
2005 09 04 12	46656.00	0.00	302.90	0.00	14.51	14.51	1282.79
2005 09 05 12	46310.40	0.00	429.58	0.00	13.91	13.91	1104.45
2005 09 06 12	46310.40	0.00	427.99	0.00	15.42	15.42	1247.29
2005 09 07 12	45964.80	0.00	432.80	0.00	17.01	17.01	1464.41
2005 09 08 12	45778.93	5.03	310.02	0.00	17.52	17.52	1635.20
2005 09 09 12	45619.20	3.39	381.81	0.00	14.76	14.76	1317.26
2005 09 10 12	45273.60	0.03	408.25	0.00	11.77	11.77	1006.32
2005 09 11 12	45273.60	0.32	366.32	0.00	12.21	12.21	1043.80
2005 09 12 12	44928.00	0.40	381.82	0.00	17.82	17.82	1515.12
2005 09 13 12	44783.81	0.00	316.35	0.00	16.08	16.08	1388.11
2005 09 14 12	44582.40	0.00	409.33	0.00	19.12	19.12	1896.11
2005 09 15 12	44236.80	0.62	283.75	0.00	19.56	19.56	1943.74
2005 09 16 12	44236.80	0.16	373.12	0.00	16.66	16.66	1342.69
2005 09 17 12	43891.20	11.33	106.03	0.00	13.88	13.88	1400.23
2005 09 18 12	43785.92	5.36	137.84	0.00	13.39	13.39	1401.96
2005 09 19 12	43545.60	0.21	357.83	0.00	15.10	15.10	1390.74
2005 09 20 12	43200.00	1.80	220.65	0.00	12.82	12.82	1189.29
2005 09 21 12	43200.00	4.89	336.79	0.00	13.98	13.98	1280.48
2005 09 22 12	42854.40	4.46	145.93	0.00	11.51	11.51	1162.26
2005 09 23 12	42652.99	3.71	274.60	0.00	15.23	15.23	1430.17
2005 09 24 12	42508.80	0.00	393.45	0.00	8.83	8.83	802.02
2005 09 25 12	42163.20	0.26	352.61	0.00	9.97	9.97	886.66
2005 09 26 12	42163.20	45.94	118.71	0.00	13.87	13.87	1495.44
2005 09 27 12	41817.60	15.09	337.75	0.00	11.79	11.79	1138.39
2005 09 28 12	41616.19	0.36	379.84	0.00	11.43	11.43	993.23
2005 09 29 12	41472.00	16.66	263.23	0.00	12.51	12.51	1203.84
2005 09 30 12	41126.40	0.46	271.19	0.00	8.03	8.03	810.39
2005 10 01 12	41126.40	0.00	217.16	0.00	8.49	8.49	857.66
2005 10 02 12	40780.80	0.00	373.64	0.00	13.69	13.69	1160.22
2005 10 03 12	40621.07	0.00	366.52	0.00	17.07	17.07	1369.27
2005 10 04 12	40435.20	0.00	359.84	0.00	17.06	17.06	1523.52
2005 10 05 12	40089.60	0.00	355.12	0.00	20.20	20.20	1887.17
2005 10 06 12	40089.60	0.12	354.62	0.00	17.44	17.44	1644.40
2005 10 07 12	39744.00	23.93	238.09	0.00	18.29	18.29	1802.80
2005 10 08 12	39675.36	20.72	90.29	0.00	9.18	9.18	1081.66
2005 10 09 12	39398.40	0.71	153.04	0.00	6.58	6.58	856.54
2005 10 10 12	39053.49	3.72	112.64	0.00	7.97	7.97	963.32
2005 10 11 12	39052.80	0.42	309.25	0.00	9.85	9.85	1002.49
2005 10 12 12	38707.20	0.00	358.24	0.00	6.96	6.96	703.83
2005 10 13 12	38707.20	0.00	317.88	0.00	6.59	6.59	757.25
2005 10 14 12	38361.60	0.00	152.04	0.00	8.88	8.88	1004.69
2005 10 15 12	38160.19	19.97	93.75	0.00	11.77	11.77	1298.96
2005 10 16 12	38016.00	66.24	74.85	0.00	8.36	8.36	1061.82
2005 10 17 12	37679.94	9.58	114.10	0.00	6.93	6.93	914.34
2005 10 18 12	37670.40	0.76	117.91	0.00	7.83	7.83	964.11
2005 10 19 12	37324.80	1.71	210.47	0.00	8.15	8.15	904.21
2005 10 20 12	37320.34	9.55	199.71	0.00	6.05	6.05	789.55
2005 10 21 12	36979.20	0.03	164.75	0.00	3.81	3.81	631.37
2005 10 22 12	36819.47	0.01	286.79	0.00	4.53	4.53	680.08
2005 10 23 12	36633.60	0.55	149.17	0.00	6.10	6.10	806.51
2005 10 24 12	36393.28	0.25	108.09	0.00	4.66	4.66	726.82
2005 10 25 12	36288.00	6.69	191.99	0.00	4.57	4.57	725.82
2005 10 26 12	35982.49	41.44	102.10	0.00	2.76	2.76	651.73
2005 10 27 12	35942.40	0.50	169.39	0.00	1.55	1.55	593.49
2005 10 28 12	35606.34	0.00	203.26	0.00	0.98	0.98	547.68
2005 10 29 12	35596.80	0.00	304.58	0.00	-1.42	-1.42	470.63
2005 10 30 12	35251.89	0.00	294.53	0.00	1.39	1.39	543.87
2005 10 31 12	35246.74	0.58	96.64	0.00	5.92	5.92	845.01
2005 11 01 12	34905.60	0.04	168.05	0.00	9.46	9.46	1014.07
2005 11 02 12	34880.91	0.04	170.22	0.00	6.84	6.84	787.13
2005 11 03 12	34560.00	5.50	177.32	0.00	2.59	2.59	555.87
2005 11 04 12	34535.31	2.92	241.05	0.00	0.92	0.92	533.16
2005 11 05 12	34215.09	1.46	173.38	0.00	1.22	1.22	586.89
2005 11 06 12	34189.70	0.76	130.37	0.00	1.96	1.96	623.66
2005 11 07 12	33878.34	16.57	131.33	0.00	4.07	4.07	669.62
2005 11 08 12	33864.34	0.00	221.54	0.00	0.14	0.14	459.82
2005 11 09 12	33563.29	0.00	236.49	0.00	-0.21	-0.21	446.34
2005 11 10 12	33523.20	9.19	126.19	0.00	1.30	1.30	597.30
2005 11 11 12	33250.70	0.00	164.15	0.00	-1.21	-1.21	483.85
2005 11 12 12	33177.60	0.01	272.83	0.00	-1.00	-1.00	459.37
2005 11 13 12	32976.19	0.02	248.39	0.00	0.05	0.05	500.56
2005 11 14 12	32832.00	0.41	177.65	0.00	3.52	3.52	681.49
2005 11 15 12	32763.35	2.62	208.65	0.00	-0.71	-0.71	435.75
2005 11 16 12	32495.94	7.83	142.42	0.00	0.67	0.67	585.50
2005 11 17 12	32481.94	16.02	145.08	0.00	3.30	3.30	683.35
2005 11 18 12	32246.08	0.33	182.74	0.00	-3.03	-3.03	383.48
2005 11 19 12	32140.80	0.02	230.20	0.00	-5.00	-5.00	256.99
2005 11 20 12	32072.16	0.07	126.43	0.00	-0.80	-0.80	491.85
2005 11 21 12	31835.29	0.05	164.42	0.00	1.69	1.69	615.07
2005 11 22 12	31795.20	34.28	87.52	0.00	1.82	1.82	657.29
2005 11 23 12	31635.47	16.31	138.95	0.00	-1.61	-1.61	502.66
2005 11 24 12	31489.69	6.66	178.55	0.00	-4.53	-4.53	369.84
2005 11 25 12	31449.60	3.86	174.76	0.00	-4.25	-4.25	392.96
2005 11 26 12	31289.87	1.09	209.28	0.00	-7.84	-7.84	284.68
2005 11 27 12	31144.09	0.54	193.60	0.00	-4.90	-4.90	373.95
2005 11 28 12	31104.00	1.48	84.36	0.00	-4.51	-4.51	411.68
2005 11 29 12	31035.35	1.05	161.00	0.00	1.95	1.95	657.20
2005 11 30 12	30863.68	4.74	61.84	0.00	4.85	4.85	825.68
2005 12 01 12	30767.94	11.22	213.07	0.00	3.71	3.71	726.63
2005 12 02 12	30753.94	36.16	57.76	0.00	2.81	2.81	684.54
